Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00109122507694746,0.00334946623951281,0.0489855934276007,0,0,0,0.303576106034272,0.0003204846476097,2.62190795371995E-06,1.78273132959694E-05,0.000498321260315036,-1.89908549049557E-05,0.000236845827410211,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/base_link.STL,,NONE-1;Body (0)-1-1,Coordinate System29,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_t_link,-0.000883525104759189,0.00170407980029484,0.00831028240403424,0,0,0,0.00833536405562315,8.98196341850234E-07,5.06324261689494E-08,7.80847786775035E-08,6.56600038000196E-07,-1.15246746917096E-07,4.94642305198558E-07,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_t_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_t_link.STL,,Body (0)-1,Coordinate System27,Axis1,right_thumb_cmc_abd,revolute,0.028112,-0.0145,0.025363,-1.3549,0.27644,-2.4646,base_link,0,1,0,0,0,-0.92502,0.8203,,,,,,,,
right_thumb_mcp_link,-1.9848E-07,0.00075445,0.014668,0,0,0,0.008207,1.1501E-06,1.5891E-11,-2.1442E-11,1.2374E-06,2.9444E-08,5.8804E-07,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_thumb_mcp_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_thumb_mcp_link.STL,,Body (0)-2-1,Coordinate System31,Axis2,right_thumb_cmc_flex,revolute,-0.003475,0.003808,0.019656,0.1325,-0.17906,0.26195,right_t_link,1,0,0,0,0,0,0.9599,,,,,,,,
right_thumb_proximal_link,7.9121E-09,0.001007,0.011955,0,0,0,0.005471,5.6266E-07,-1.2619E-11,4.6488E-12,6.6259E-07,1.0326E-08,3.2352E-07,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_thumb_proximal_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_thumb_proximal_link.STL,,Body (5)-1,Coordinate System24,Axis33,right_thumb_mcp,revolute,0,0.0033822,0.035848,0,0,0,right_thumb_mcp_link,1,0,0,0,0,0,1.5708,,,,,,,,
right_thumb_distal_link,-6.4155E-07,-0.0011983,0.010377,0,0,0,0.0032396,2.7433E-07,3.5329E-12,1.7025E-11,2.5791E-07,-5.5405E-08,1.196E-07,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_thumb_distal_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_thumb_distal_link.STL,,Body (7)-1,Coordinate System22,Axis32,right_thumb_ip,revolute,0,0.002206,0.029919,0,0,0,right_thumb_proximal_link,1,0,0,0,0,0,1.5708,,,,,,,,
right_thumb_tip_link,2.2383E-07,-0.010203,-0.013939,0,0,0,0.00086967,5.0257E-08,-4.472E-12,-3.8747E-12,6.2025E-08,-8.6371E-09,3.845E-08,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_thumb_tip_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_thumb_tip_link.STL,,Body (8)-1,Coordinate System23,Axis32,right_thumb_tip,fixed,0,0.0059474,0.031823,0,0,0,right_thumb_distal_link,0,0,0,,,,,,,,,,,,
right_index_proximal_link,4.30529992941076E-08,-0.0024559603959039,0.0191142514901699,0,0,0,0.00720026836301954,1.11576979742814E-06,-2.42664231429577E-12,-8.53111702205322E-12,1.1011227010753E-06,1.07385658133945E-07,2.80496727013047E-07,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_index_proximal_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_index_proximal_link.STL,,CUT-EXTRUDE5-1,Coordinate System4,Axis24,right_index_mcp_flex,revolute,0.030626,-0.0011782,0.10542,0,0.05236,-0.034907,base_link,1,0,0,0,0,0,1.5708,,,,,,,,
right_index_middle_link,-6.47985752902369E-09,-0.000363269614703799,0.00876079008757696,0,0,0,0.00276150356687874,1.80416885776444E-07,1.11705685747945E-13,-3.17914278530766E-14,1.9897239153381E-07,7.6558277494112E-09,8.93351684671892E-08,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_index_middle_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_index_middle_link.STL,,Body (2)-1,Coordinate System2,Axis7,right_index_pip,revolute,0,-0.0014554,0.043,0,0,0,right_index_proximal_link,1,0,0,0,0,0,1.5708,,,,,,,,
right_index_distal_link,3.34671961321059E-07,-0.00120224143694181,0.00777234707760652,0,0,0,0.00183663667769987,1.0824117936487E-07,2.22622444751556E-12,4.51561065548065E-13,1.0024267178837E-07,-1.85905628716286E-08,3.57211667407306E-08,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_index_distal_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_index_distal_link.STL,,Body (0)-3-1,Coordinate System3,Axis3,right_index_dip,revolute,0,0,0.022,0,0,0,right_index_middle_link,1,0,0,0,0,0,1.5708,,,,,,,,
right_index_tip_link,2.3798090519056E-08,-0.00705353273135757,-0.0124434081224676,0,0,0,0.000390243409160287,1.25259152366009E-08,4.25868635620944E-13,-9.33846395984465E-14,1.44813957341742E-08,-2.01061097814808E-09,8.29652914701066E-09,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_index_tip_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_09_19_25.SLDASM/meshes/right_index_tip_link.STL,,Body (4)-2-1,Coordinate System18,Axis3,right_index_tip,fixed,0,0.003512,0.026776,0,0,0,right_index_distal_link,0,0,0,,,,,,,,,,,,
