timestamp,counter,servo_1_sent,servo_1_read,servo_2_sent,servo_2_read,servo_5_sent,servo_5_read,servo_8_sent,servo_8_read,servo_11_sent,servo_11_read,servo_14_sent,servo_14_read,servo_0_sent,servo_0_read,servo_16_sent,servo_16_read,servo_17_sent,servo_17_read,servo_20_sent,servo_20_read,servo_23_sent,servo_23_read,servo_26_sent,servo_26_read,servo_29_sent,servo_29_read,servo_15_sent,servo_15_read
1756403336.60385,5,0,0,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403336.87222,10,0,0,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403337.10616,15,39321,5024,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403337.32912,20,39321,36044,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403337.59164,25,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403337.86075,30,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403338.10919,35,0,36262,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403338.36351,40,0,1256,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403338.60547,45,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403338.85567,50,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403339.11114,55,39321,5679,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403339.35516,60,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403339.60635,65,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403339.84476,70,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
